Year,GDP
1750,-1234.0437502584598
1751,-1233.9956245636652
1752,-1233.9490919409259
1753,-1233.8990515189068
1754,-1233.840569192837
1755,-1233.8121153010206
1756,-1233.75678966172
1757,-1233.6693574202052
1758,-1233.6111924732386
1759,-1233.552992367509
1760,-1233.469620012876
1761,-1233.3586542058817
1762,-1233.2615813365478
1763,-1233.1478408379924
1764,-1233.0502562661222
1765,-1232.9331376756152
1766,-1232.822627982302
1767,-1232.6912914731367
1768,-1232.5419014143247
1769,-1232.3931237831532
1770,-1232.2424437778363
1771,-1232.1130823359345
1772,-1231.9923932305162
1773,-1231.904671641885
1774,-1231.807615876814
1775,-1231.6524873377496
1776,-1231.5027281119267
1777,-1231.3576207705344
1778,-1231.222712796221
1779,-1231.0840960475366
1780,-1230.9208971470243
1781,-1230.7519179558387
1782,-1230.5872556905988
1783,-1230.3583445870502
1784,-1230.1643347322497
1785,-1229.9296091295016
1786,-1229.7004272084546
1787,-1229.5048523135854
1788,-1229.3019301875004
1789,-1229.0276937371125
1790,-1228.773662172568
1791,-1228.5201123780994
1792,-1228.0461988604213
1793,-1227.8713334271554
1794,-1227.7656689914688
1795,-1227.8627879472895
1796,-1227.9549001052212
1797,-1227.9697694112303
1798,-1227.4871203663195
1799,-1225.4064447310388
1800,-1222.8820712089903
1801,-1223.2680108501572
1802,-1219.312922738396
1803,-1224.4308840833883
1804,-1223.3710516819394
1805,-1223.616857996432
1806,-1222.926605008545
1807,-1221.2655758154767
1808,-1221.5995194472162
1809,-1221.202309046938
1810,-1219.701648473966
1811,-1219.376491682249
1812,-1219.0734421505208
1813,-1218.887376275669
1814,-1218.4025131789303
1815,-1217.7560604077607
1816,-1216.8489092104055
1817,-1215.0532751685746
1818,-1214.0478818354586
1819,-1214.2673105256213
1820,-1214.3609535150958
1821,-1213.7308172606367
1822,-1212.798462931681
1823,-1211.6885625513448
1824,-1211.106126285578
1825,-1209.6108202971768
1826,-1209.3013918255688
1827,-1207.2315659944813
1828,-1206.7834257505053
1829,-1206.961299633594
1830,-1196.1852110132545
1831,-1198.911271353501
1832,-1199.4619602065782
1833,-1198.91218168039
1834,-1196.292188676248
1835,-1192.1888284593124
1836,-1187.6776265923777
1837,-1188.0078719023513
1838,-1188.1761398412652
1839,-1186.366998182811
1840,-1182.017061009309
1841,-1180.4220694753935
1842,-1176.9901751138607
1843,-1175.5740400079221
1844,-1171.0257855560424
1845,-1164.8040671118588
1846,-1163.5598412523898
1847,-1157.3430212790954
1848,-1155.9941790951702
1849,-1150.6005825511677
1850,-1144.984687601758
1851,-1144.0742941963183
1852,-1139.9188657519555
1853,-1135.307257109748
1854,-1117.2942160594353
1855,-1114.8847812845925
1856,-1106.7165216866572
1857,-1105.4643233401343
1858,-1103.424568703958
1859,-1095.2258777713505
1860,-1081.2187453992606
1861,-1073.225723727431
1862,-1070.0409669621977
1863,-1058.784812990904
1864,-1044.7470497344063
1865,-1032.8058225162188
1866,-1026.2993323458468
1867,-1011.2821979919864
1868,-1004.919792233053
1869,-990.4751185586556
1870,-985.0663372300143
1871,-969.1246746977793
1872,-940.4227948231689
1873,-921.8076789624005
1874,-941.8808144683634
1875,-916.7559063642179
1876,-912.1632501957038
1877,-905.6901418453796
1878,-903.0441266054847
1879,-879.2801809561076
1880,-832.7537870194417
1881,-818.6771163156952
1882,-795.0085982005705
1883,-766.789652441922
1884,-761.382567286033
1885,-757.8177537958844
1886,-750.3201951126989
1887,-725.9326517885311
1888,-671.0062544943729
1889,-670.8773073557315
1890,-620.6390460273662
1891,-591.4726191195703
1892,-586.4143183943246
1893,-594.4529894437543
1894,-571.8649571277082
1895,-531.7586910865767
1896,-508.5095790037449
1897,-473.88960035878085
1898,-432.11020480871196
1899,-357.7337898137795
1900,-310.93448310663814
1901,-280.2727635137568
1902,-256.0705163726035
1903,-167.50065131796782
1904,-155.3152417400404
1905,-85.2015416794361
1906,-34.16683934700086
1907,133.82790647656066
1908,80.67298820386304
1909,134.86223927251604
1910,203.0867259676827
1911,224.66294610078603
1912,299.00073396833614
1913,427.4310387946373
1914,272.58034898097367
1915,250.96170077314423
1916,370.2184666968144
1917,443.6568078872756
1918,421.2489404753296
1919,200.6716515372184
1920,434.629890528435
1921,229.69663569197996
1922,301.0676416221006
1923,508.1809298076423
1924,513.4010558660539
1925,532.3171354886956
1926,500.9577995226855
1927,660.1692212003079
1928,651.918552312773
1929,790.7216899523851
1930,632.8354685662091
1931,433.9056675238992
1932,269.3119143599647
1933,349.1517160433175
1934,488.2300422706271
1935,574.0157609077071
1936,750.1494752787348
1937,887.3253323367453
1938,760.3109754197258
1939,876.4042603809203
1940,1071.2498484785397
1941,1123.2603490178344
1942,1117.925481861479
1943,1156.9365049254693
1944,1193.1474175930593
1945,784.1785491472499
1946,968.9936747635588
1947,1206.3906308167907
1948,1339.0299146843458
1949,1223.1262019719275
1950,1578.6744184138602
1951,1793.458208386734
1952,1834.3332635400088
1953,1921.481669311714
1954,1987.3500437720886
1955,2298.2502897035197
